haskell-bifunctors 5.5.12-10
haskell-comonad 5.0.8-149
haskell-data-default 0.7.1.1-232
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-245
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-52
haskell-diff 0.4.1-25
haskell-distributive 0.6.2.1-152
haskell-dlist 1.0-167
haskell-erf 2.0.0.0-24
haskell-extensible-exceptions 0.1.1.4-36
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.0.2-21
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-old-locale 1.0.0.7-30
haskell-primitive 0.7.4.0-11
haskell-quickcheck 2.14.2-328
haskell-random 1.2.1.1-26
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.1.2-24
haskell-scientific 0.3.7.0-63
haskell-setlocale 1.0.0.10-4
haskell-splitmix 0.1.0.4-76
haskell-strict 0.4.0.1-120
haskell-tagged 0.8.6.1-5
haskell-th-abstraction 0.4.3.0-2
haskell-these 1.1.1.1-147
haskell-time-compat 1.9.6.1-47
haskell-transformers-compat 0.7.2-1
haskell-unordered-containers 0.2.19.1-16
haskell-utf8-string 1.0.2-100
haskell-uuid-types 1.0.5-67
haskell-vector 0.12.3.1-103
haskell-x11 1.10.2-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hivex 1.3.21-6
htop 3.2.1-1
http-parser 2.9.4-1
hugo 0.101.0-1
hunspell 1.7.0-4
hwdata 0.360-1
hwloc 2.7.1-1
hyphen 2.8.8-4
i3lock 2.14.1-1
i3lock-fancy-git r189.2829bb5-1
iana-etc 20220603-1
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.40-1
imath 3.1.5-2
imlib2 1.9.0-3
iniparser 4.1-4
insync 3.7.9.50368-2
iproute2 5.18.0-1
iptables 1:1.8.8-1
iputils 20211215-1
iso-codes 4.10.0-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.4-1
java-environment-common 3-3
java-runtime-common 3-3
java11-openjfx 11.0.15.u2-1
jbig2dec 0.19-1
jdk11-openjdk 11.0.15.u10-2
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jpegoptim 1.4.7-1
jq 1.6-4
